9950 9949
70939 -0.564364 SAD
102075 -0.564251 SAD
289839 -0.564247 SAD
89985 -0.564236 SAD
284855 -0.564234 SAD
270824 -0.564139 SAD
317030 -0.564107 SAD
183736 -0.563969 SAD
90174 -0.563965 SAD
189907 -0.56396 SAD
289937 -0.563794 SAD
348963 -0.563752 SAD
291582 -0.563746 MAX
83776 -0.563717 SAD
102498 -0.563564 SAD
259479 -0.56347 SAD
77661 -0.563406 SAD
266131 -0.563274 SAD
291515 -0.563201 SAD
272502 -0.563136 SAD
83354 -0.563117 SAD
152812 -0.563077 SAD
102722 -0.563042 MAX
234255 -0.563012 SAD
108832 -0.562979 SAD
71542 -0.562965 SAD
278742 -0.562895 SAD
323234 -0.562813 SAD
279202 -0.562754 MAX
227760 -0.56271 SAD
246772 -0.562663 SAD
145795 -0.562648 SAD
310462 -0.562622 SAD
133896 -0.56254 SAD
100006 -0.562463 SAD
234525 -0.562458 SAD
190003 -0.562442 SAD
240466 -0.562402 SAD
342342 -0.562329 SAD
283533 -0.562285 SAD
292017 -0.562164 SAD
283435 -0.56198 SAD
183640 -0.561876 SAD
272904 -0.561859 SAD
304386 -0.56184 MAX
336141 -0.56162 SAD
260292 -0.561586 SAD
274744 -0.561564 MAX
196361 -0.561552 SAD
335940 -0.561423 SAD
225656 -0.561348 SAD
110738 -0.561322 MAX
134407 -0.561235 MAX
359308 -0.561194 SAD
329312 -0.560969 SAD
264616 -0.560947 MAX
252103 -0.560929 MAX
310627 -0.560799 SAD
355268 -0.560796 SAD
297820 -0.560712 SAD
171322 -0.560617 SAD
96514 -0.56059 MAX
272630 -0.560453 SAD
329804 -0.560451 SAD
310204 -0.560204 SAD
96383 -0.560196 SAD
128004 -0.560095 MAX
115077 -0.560087 SAD
114557 -0.559846 SAD
139490 -0.559754 SAD
310788 -0.559668 MAX
77566 -0.559629 SAD
184084 -0.55954 SAD
189945 -0.559402 SAD
77594 -0.559386 SAD
272533 -0.559269 SAD
64700 -0.559266 SAD
253267 -0.559211 SAD
259794 -0.559137 SAD
152715 -0.559094 SAD
96193 -0.559089 SAD
277129 -0.559058 MAX
315054 -0.558974 MAX
190089 -0.558928 SAD
153218 -0.558888 SAD
240560 -0.558788 SAD
125711 -0.558558 SAD
190487 -0.558554 SAD
127525 -0.558544 SAD
291095 -0.558431 SAD
87971 -0.558414 SAD
316832 -0.558407 SAD
